epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,661.016,1.26684,0.36486,0.7377,0.7001,0.57654,0.60231,0.33989,0.82007,0.42161,0.08628,0.000555323,0.000555323,0.000555323
2,1297.36,0.93462,0.42178,0.10638,0.70787,0.58878,0.61626,0.34817,0.76722,0.44123,0.07902,0.00108877,0.00108877,0.00108877
3,1933.84,0.88184,0.4294,0.09559,0.73126,0.6128,0.65094,0.37506,0.73225,0.43518,0.07211,0.00159999,0.00159999,0.00159999
4,2569.09,0.85261,0.42843,0.08766,0.72479,0.6192,0.64924,0.37167,0.74181,0.42617,0.07449,0.00156698,0.00156698,0.00156698
5,3202.93,0.8279,0.42803,0.08323,0.74319,0.62231,0.66518,0.37693,0.71987,0.43866,0.06686,0.00153364,0.00153364,0.00153364
6,3835.16,0.82185,0.42815,0.08228,0.73838,0.63451,0.67008,0.38224,0.7057,0.44123,0.06766,0.0015003,0.0015003,0.0015003
7,4468.35,0.81883,0.42819,0.07935,0.74612,0.63013,0.67492,0.38777,0.70157,0.44016,0.06486,0.00146696,0.00146696,0.00146696
8,5104.75,0.80939,0.42658,0.07881,0.75198,0.62973,0.67775,0.38625,0.71035,0.43527,0.0663,0.00143362,0.00143362,0.00143362
9,5740.78,0.84856,0.43963,0.0864,0.73401,0.61276,0.65646,0.37685,0.72654,0.44565,0.07074,0.00140028,0.00140028,0.00140028
10,6374.71,0.82009,0.43238,0.0801,0.75275,0.62967,0.67758,0.39091,0.70483,0.43986,0.06601,0.00136694,0.00136694,0.00136694
11,7009.13,0.79187,0.42995,0.07525,0.75715,0.64042,0.68537,0.39635,0.68262,0.44229,0.06243,0.0013336,0.0013336,0.0013336
12,7643.12,0.79581,0.43084,0.07696,0.75326,0.636,0.681,0.39493,0.70103,0.43811,0.0684,0.00130026,0.00130026,0.00130026
13,8274.73,0.77336,0.4275,0.07233,0.76115,0.64901,0.69266,0.4038,0.67843,0.4405,0.06362,0.00126692,0.00126692,0.00126692
14,8908.43,0.76854,0.43272,0.07088,0.75442,0.65439,0.69734,0.40711,0.67009,0.43967,0.06163,0.00123358,0.00123358,0.00123358
15,9544.81,0.7633,0.42982,0.07117,0.76179,0.65091,0.69636,0.40268,0.68048,0.43841,0.06357,0.00120024,0.00120024,0.00120024
16,10179.3,0.76665,0.43128,0.07239,0.77094,0.65013,0.70001,0.40846,0.66814,0.43359,0.06145,0.00116691,0.00116691,0.00116691
17,10813.8,0.76657,0.42968,0.07126,0.76725,0.65587,0.70291,0.40665,0.66852,0.43846,0.061,0.00113357,0.00113357,0.00113357
18,11447.9,0.74297,0.42867,0.06781,0.76531,0.65801,0.70291,0.41138,0.67039,0.43639,0.06451,0.00110023,0.00110023,0.00110023
19,12083.2,0.73977,0.42981,0.06663,0.77134,0.65914,0.7089,0.41253,0.66535,0.43639,0.06171,0.00106689,0.00106689,0.00106689
20,12716.2,0.73492,0.43121,0.06597,0.77303,0.66423,0.7106,0.41603,0.66287,0.43436,0.06105,0.00103355,0.00103355,0.00103355
21,13351.2,0.74898,0.43253,0.06838,0.77165,0.66488,0.70739,0.41445,0.65462,0.43818,0.05909,0.00100021,0.00100021,0.00100021
22,13983.7,0.72591,0.42942,0.06396,0.7752,0.67139,0.71988,0.42151,0.65284,0.43506,0.05991,0.000966867,0.000966867,0.000966867
23,14620.7,0.72759,0.42999,0.06381,0.77263,0.65963,0.70842,0.40879,0.66273,0.43856,0.05925,0.000933527,0.000933527,0.000933527
24,15254.4,0.72744,0.42918,0.06434,0.77129,0.66932,0.716,0.4185,0.65587,0.43555,0.0594,0.000900188,0.000900188,0.000900188
25,15887.2,0.72424,0.42944,0.06435,0.76906,0.67274,0.71723,0.42053,0.65474,0.43353,0.06077,0.000866848,0.000866848,0.000866848
26,16521,0.72487,0.42518,0.06361,0.77429,0.67142,0.71947,0.42332,0.64996,0.43397,0.05946,0.000833508,0.000833508,0.000833508
27,17157.1,0.71442,0.42631,0.06252,0.772,0.67703,0.7187,0.42378,0.64598,0.43373,0.06073,0.000800169,0.000800169,0.000800169
28,17792.1,0.71577,0.42713,0.06168,0.77426,0.67588,0.71833,0.42435,0.64671,0.43399,0.05978,0.000766829,0.000766829,0.000766829
29,18427.1,0.70783,0.42808,0.0617,0.77721,0.67658,0.72116,0.42559,0.6445,0.43242,0.05924,0.000733489,0.000733489,0.000733489
