epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.574,1.46485,1.14281,1.02831,0.70376,0.59907,0.64111,0.36915,1.33761,0.93794,0.99838,0.00055498,0.00055498,0.00055498
2,596.986,1.46009,1.0321,1.03078,0.7158,0.61799,0.65944,0.38006,1.33709,0.92232,0.99517,0.00108846,0.00108846,0.00108846
3,885.962,1.44419,1.00273,1.02047,0.71789,0.61322,0.65877,0.3844,1.31902,0.87839,0.9795,0.00159973,0.00159973,0.00159973
4,1174.73,1.42896,0.97412,1.01479,0.73681,0.61653,0.67439,0.39387,1.31499,0.86833,0.97882,0.00156708,0.00156708,0.00156708
5,1463.73,1.41074,0.94059,1.0074,0.73749,0.63055,0.68369,0.40209,1.29419,0.83106,0.97507,0.00153377,0.00153377,0.00153377
6,1750.78,1.39296,0.91605,0.99549,0.76948,0.64088,0.70374,0.41761,1.26814,0.8098,0.96421,0.00150047,0.00150047,0.00150047
7,2036.86,1.37044,0.89291,0.99008,0.76286,0.65212,0.7137,0.41925,1.27445,0.81075,0.96624,0.00146716,0.00146716,0.00146716
8,2321.89,1.36723,0.88052,0.98814,0.76397,0.65315,0.71197,0.42127,1.24948,0.78578,0.95577,0.00143385,0.00143385,0.00143385
9,2606.7,1.35291,0.86481,0.98012,0.77704,0.66346,0.72595,0.43032,1.25503,0.77416,0.95598,0.00140055,0.00140055,0.00140055
10,2892.28,1.34719,0.85758,0.98215,0.78248,0.66745,0.73292,0.43577,1.24199,0.76764,0.94947,0.00136724,0.00136724,0.00136724
11,3177.04,1.34179,0.84678,0.97272,0.76915,0.6726,0.73291,0.43718,1.23791,0.76674,0.94761,0.00133393,0.00133393,0.00133393
12,3462.18,1.33642,0.84593,0.97113,0.78071,0.67577,0.73448,0.44096,1.22391,0.75584,0.9433,0.00130063,0.00130063,0.00130063
13,3748.28,1.34192,0.83461,0.9735,0.78162,0.67833,0.73758,0.44224,1.22538,0.74256,0.94291,0.00126732,0.00126732,0.00126732
14,4034.84,1.31529,0.82313,0.96995,0.77843,0.68512,0.74072,0.44506,1.21823,0.74367,0.94226,0.00123401,0.00123401,0.00123401
15,4320.78,1.31127,0.80972,0.96384,0.77974,0.69191,0.75124,0.45047,1.22314,0.74029,0.94316,0.00120071,0.00120071,0.00120071
16,4606.51,1.31124,0.81203,0.96822,0.78617,0.68714,0.74919,0.45343,1.20359,0.72563,0.93738,0.0011674,0.0011674,0.0011674
